Train Model: LeNet, Using device cuda:0

========== Train Epoch 1 ==========
Loss: 1.347	Accuracy: 15 %
Accurary for class bzx   is: 0.0 %
Accurary for class cwx   is: 0.0 %
Accurary for class hdx   is: 66.7 %
Accurary for class mtx   is: 43.3 %
Accurary for class nqx   is: 0.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 26.7 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 2 ==========
Loss: 1.723	Accuracy: 13 %
Accurary for class bzx   is: 40.0 %
Accurary for class cwx   is: 10.0 %
Accurary for class hdx   is: 0.0 %
Accurary for class mtx   is: 20.0 %
Accurary for class nqx   is: 13.3 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 40.0 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 3 ==========
Loss: 1.286	Accuracy: 17 %
Accurary for class bzx   is: 23.3 %
Accurary for class cwx   is: 0.0 %
Accurary for class hdx   is: 13.3 %
Accurary for class mtx   is: 30.0 %
Accurary for class nqx   is: 33.3 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 56.7 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 4 ==========
Loss: 0.903	Accuracy: 22 %
Accurary for class bzx   is: 0.0 %
Accurary for class cwx   is: 43.3 %
Accurary for class hdx   is: 20.0 %
Accurary for class mtx   is: 36.7 %
Accurary for class nqx   is: 30.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 70.0 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 5 ==========
Loss: 0.752	Accuracy: 20 %
Accurary for class bzx   is: 0.0 %
Accurary for class cwx   is: 70.0 %
Accurary for class hdx   is: 13.3 %
Accurary for class mtx   is: 20.0 %
Accurary for class nqx   is: 20.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 56.7 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 6 ==========
Loss: 0.527	Accuracy: 26 %
Accurary for class bzx   is: 0.0 %
Accurary for class cwx   is: 80.0 %
Accurary for class hdx   is: 23.3 %
Accurary for class mtx   is: 33.3 %
Accurary for class nqx   is: 30.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 70.0 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 7 ==========
Loss: 0.426	Accuracy: 34 %
Accurary for class bzx   is: 0.0 %
Accurary for class cwx   is: 80.0 %
Accurary for class hdx   is: 70.0 %
Accurary for class mtx   is: 40.0 %
Accurary for class nqx   is: 50.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 73.3 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 8 ==========
Loss: 0.337	Accuracy: 38 %
Accurary for class bzx   is: 3.3 %
Accurary for class cwx   is: 86.7 %
Accurary for class hdx   is: 66.7 %
Accurary for class mtx   is: 40.0 %
Accurary for class nqx   is: 63.3 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 86.7 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 9 ==========
Loss: 0.264	Accuracy: 33 %
Accurary for class bzx   is: 0.0 %
Accurary for class cwx   is: 83.3 %
Accurary for class hdx   is: 56.7 %
Accurary for class mtx   is: 36.7 %
Accurary for class nqx   is: 46.7 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 80.0 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 10 ==========
Loss: 0.215	Accuracy: 38 %
Accurary for class bzx   is: 50.0 %
Accurary for class cwx   is: 80.0 %
Accurary for class hdx   is: 66.7 %
Accurary for class mtx   is: 40.0 %
Accurary for class nqx   is: 30.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 76.7 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 11 ==========
Loss: 0.180	Accuracy: 35 %
Accurary for class bzx   is: 20.0 %
Accurary for class cwx   is: 80.0 %
Accurary for class hdx   is: 36.7 %
Accurary for class mtx   is: 43.3 %
Accurary for class nqx   is: 46.7 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 90.0 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 12 ==========
Loss: 0.102	Accuracy: 33 %
Accurary for class bzx   is: 16.7 %
Accurary for class cwx   is: 86.7 %
Accurary for class hdx   is: 40.0 %
Accurary for class mtx   is: 36.7 %
Accurary for class nqx   is: 56.7 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 66.7 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 13 ==========
Loss: 0.106	Accuracy: 31 %
Accurary for class bzx   is: 20.0 %
Accurary for class cwx   is: 50.0 %
Accurary for class hdx   is: 26.7 %
Accurary for class mtx   is: 56.7 %
Accurary for class nqx   is: 60.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 70.0 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 14 ==========
Loss: 0.089	Accuracy: 36 %
Accurary for class bzx   is: 50.0 %
Accurary for class cwx   is: 86.7 %
Accurary for class hdx   is: 43.3 %
Accurary for class mtx   is: 26.7 %
Accurary for class nqx   is: 63.3 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 60.0 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 15 ==========
Loss: 0.095	Accuracy: 37 %
Accurary for class bzx   is: 20.0 %
Accurary for class cwx   is: 83.3 %
Accurary for class hdx   is: 50.0 %
Accurary for class mtx   is: 36.7 %
Accurary for class nqx   is: 63.3 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 83.3 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 16 ==========
Loss: 0.057	Accuracy: 32 %
Accurary for class bzx   is: 23.3 %
Accurary for class cwx   is: 86.7 %
Accurary for class hdx   is: 26.7 %
Accurary for class mtx   is: 36.7 %
Accurary for class nqx   is: 50.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 73.3 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 17 ==========
Loss: 0.056	Accuracy: 36 %
Accurary for class bzx   is: 20.0 %
Accurary for class cwx   is: 80.0 %
Accurary for class hdx   is: 53.3 %
Accurary for class mtx   is: 46.7 %
Accurary for class nqx   is: 60.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 70.0 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 18 ==========
Loss: 0.045	Accuracy: 34 %
Accurary for class bzx   is: 0.0 %
Accurary for class cwx   is: 93.3 %
Accurary for class hdx   is: 66.7 %
Accurary for class mtx   is: 30.0 %
Accurary for class nqx   is: 56.7 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 66.7 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 19 ==========
Loss: 0.120	Accuracy: 34 %
Accurary for class bzx   is: 33.3 %
Accurary for class cwx   is: 86.7 %
Accurary for class hdx   is: 40.0 %
Accurary for class mtx   is: 40.0 %
Accurary for class nqx   is: 46.7 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 60.0 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 20 ==========
Loss: 0.237	Accuracy: 38 %
Accurary for class bzx   is: 30.0 %
Accurary for class cwx   is: 86.7 %
Accurary for class hdx   is: 43.3 %
Accurary for class mtx   is: 43.3 %
Accurary for class nqx   is: 70.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 73.3 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 21 ==========
Loss: 0.117	Accuracy: 33 %
Accurary for class bzx   is: 23.3 %
Accurary for class cwx   is: 80.0 %
Accurary for class hdx   is: 33.3 %
Accurary for class mtx   is: 43.3 %
Accurary for class nqx   is: 60.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 60.0 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 22 ==========
Loss: 0.174	Accuracy: 26 %
Accurary for class bzx   is: 0.0 %
Accurary for class cwx   is: 76.7 %
Accurary for class hdx   is: 70.0 %
Accurary for class mtx   is: 10.0 %
Accurary for class nqx   is: 56.7 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 26.7 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 23 ==========
Loss: 0.364	Accuracy: 32 %
Accurary for class bzx   is: 0.0 %
Accurary for class cwx   is: 83.3 %
Accurary for class hdx   is: 53.3 %
Accurary for class mtx   is: 23.3 %
Accurary for class nqx   is: 56.7 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 73.3 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 24 ==========
Loss: 0.148	Accuracy: 34 %
